JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
130120,Glenville Naval Reserve Center - HVAC,16,185.6
130130,Glenville - Naval Reserve Center,1229,"13,887.70"
130130,NAVFAC 251 RUDYCHASE DR,370,4465.9
130139,Glenville - Naval Reserve Center Activities,40,575.2
130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,68,"1,040.40"
130140,Glenville - Naval Reserve Center Grounds Mtc.,188,"2,177.89"
130150,NAVFAC 5803 E MOLLOY RD,253,2702.04
130150,Syracuse - Naval Reserve Center,653.5,6979.39
130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,15,208.65
130159,Syracuse - Naval Reserve Center Activities,38.1,524.26
130160,Syracuse - Naval Reserve Center Grounds Mtc.,274.75,"3,266.92"
130169,Syracuse - Naval Reserve Ctr Grounds Mtc. Activiti,4,60.33
130170,Albany Armory Reserve Center,122,"1,448.16"
131121,Federal Bldg (Alexander Pirnie) - Janitor,1834.5,19640.66
131121,Federal Bldg - Janitor,2584,"26,427.33"
131129,Federal Building -  Activities,558,7597.49
131141,Army Reserve - Elihu Root,396.25,"4,231.95"
131149,Army Reserve - Elihu Root -  Activities,55,765.05
132111,EADS Janitor,1706.5,"18,225.42"
132116,EADS - S&W Labs Rate,48,490.08
132119,EADS - Activities,226.5,"3,127.14"
132121,Rome Labs Janitor,14436,154534.67
132126,Rome Labs S&W Labs Rate,397.5,4058.48
132129,Rome Labs - Activities,1687.9,23308.87
134111,Army Reserve Grounds Maintenance,37,400.06
134119,Army Reserve Grounds Maintenance - Activities,1.5,20.67
231051,Armory Janitor,172,"1,582.40"
231059,Armory - Activities,24,221.12
231061,NYS Armory FMS6,80.25,738.3
231069,NYS ARmory FMS6 - Activities,13.5,171.65
231111,DDSO Carpet Cleaning,930.25,8791.25
231119,DDSO Carpet Cleaning Activities,54.5,706.32
231121,CNY Bus  Of Oneida And Utica - Janitor,814.75,7495.7
231129,CNY Bus Of Oneida And Utica - Activities,48.21666667,613.27
231201,DOT Bridge Maint Janitor,232.25,2346.19
231209,DOT Bridge Maint - Activities,23.5,341.51
231221,DOT Engineering,288.75,3104.48
231229,DOT Engineering - Activities,43,516
231231,DOT Tech Lab Janitor,61,561.2
231235,DOT Tech Lab S&W,16,151.2
231239,DOT Tech Lab - Activities,10,92.12
231240,DOT Technical Services Lab,107.25,954.77
231249,DOT Technical Services Lab - Activities,7.5,77.79
231271,Elizabeth Street Janitor,689.5,6343.4
231275,Elizabeth Street  S&W,231,"2,182.95"
231279,Elizabeth St DDSO - Activities,48.75,449.13
231521,Marcy Day Treatment Janitor,259.5,"2,387.40"
231525,Marcy Day Treatment S&W,452,"4,271.41"
231529,Marcy Day Treatment - Activities,52.5,491.51
231531,Marcy Day Treatment - Janitor,968.5,8635.77
231539,Marcy Day Treatment - Activities,77,841.7
231541,McPike Janitor,4136,38051.2
231549,McPike - Actvities,474.35,"6,029.05"
231571,OC 911 - Janitor,667.25,6138.7
231579,OC 911 - Activities,63.5,807.16
231581,OC Cornell - Janitor,918.5,8450
231589,OC Cornell - Activities,75.5,946.76
231591,OC DPW - Janitor,893,8215.6
231599,OC DPW - Activities,74.25,931.83
231621,OGS Marcy Janitor,129.25,1189.1
231629,OGS Marcy - Activities,8.25,75.99
231631,OC Courthouse,7356.25,67677.5
231639,Oneida Co Courthouse - Activities,812.4166667,"10,545.49"
231641,OC Health Dept. 285 Genesee St.,11.25,100.14
231641,Oneida County Health Dept.,451,4015.12
231649,OC Health Dept. 285 Genesee St. - Activities,3.75,40.69
231649,Oneida County Health Dept. - Activities,27,292.99
231651,OC Office Bldg. (Mosley) 800 Park Ave,30,337.52
231651,Oneida County Office Bldg. 800 Park Avenue,1937,21792.44
231659,OC Office Bldg. (Mosley) 800 Park Ave - Activities,7.5,98.4
231659,Oneida County Office Bldg. Activities,227,2978.24
231671,OTB Herkimer (Mohwak Street),431,"3,965.20"
231679,OTB Herkimer (Mohawk St.) Activities,43.11666667,548.17
231681,OTB Schuyler Janitor,203.25,1954.04
231689,OTB Schuyler - Activities,10.25,98.54
231691,OC WIC,151.25,1350.22
231699,OC WIC - ACTIVITIES,18.75,203.92
231701,Oneida County Sheriff's Office,26.75,238.09
231719,OC Office Bldg. 800 Park Ave Utica - Activities,12.5,135.65
231729,OC Health Dept Clinic 406 Elizabeth St Utica Activ,2.5,27.13
231739,OC Law Library - Activities,3.5,37.98
231821,Utica Court Janitor,3293,31287.29
231829,Utica Court - Activities,433.5666667,"5,130.54"
231841,Union Station,910,"8,099.00"
231849,Union Station - Activities,101.75,1097.89
231851,Utica Armory,273.5,2584.58
231859,Utica Armory - Activities,35,388.85
232032,Admin Bldg Janitor P/T,468,4305.6
232035,Admin Bldg S&W,38,359.1
232039,Admin Bldg - Activities,44,405.24
232041,Rome Administration Bldg.,1501.5,"13,363.35"
232049,Rome Administration Bldg. - Activities,192.3833333,"2,096.98"
232072,Bridge Street Janitor P/T,157.5,1449
232076,Bridge Street S&W Labs Rate,126,"1,286.47"
232079,Bridge Street - Activities,12,110.54
232081,Bridge Street Day Hab,506.5,4507.85
232089,Bridge Street Day Hab - Activities,64.5,703.05
232120,Delta Acres,954.5,"8,781.40"
232126,Delta Acres S&W Labs Rate,166,1694.86
232129,Delta Acres Activities,85.5,1086.79
232140,Griffis International Airport,1299,11950.8
232149,Griffis International Airport - Activities,88.15,1142.43
232222,Gore Road Janitor,580.5,5340.6
232226,Gore Road S&W Labs Rate,66,673.86
232229,Gore Road - Activities,48.71666667,448.78
232231,Home Land Security,457,4204.4
232239,Home Land Security Activities,34,445.74
232561,OC Office Building - Janitor,1424.5,13105.4
232566,OC Office Bldg S&W Labs Rate,147,1500.87
232569,OC Office Building - Activities,127.25,"1,655.56"
232571,OC Social Services Bldg. - Rome,25,222.5
232571,Oneida County Social Services Bldg. - Rome,984.5,8762.05
232579,OC Social Services - Rome - Activities,12,130.32
232579,Oneida County Social Services - Rome - Activities,117,1270.62
232611,OGS Mohawk Janitor,36.5,335.8
232616,OGS S&W Labs Rate,8,81.68
232619,OGS Mohawk - Activities,4.5,41.49
232671,O'Shea Janitor F/T,919,8454.8
232676,O'Shea S&W Labs Rate,185,"1,888.85"
232679,O'Shea - Activities,92,1169.32
232721,OC Court House Rome Janitor,10,92
232721,Rome Court House Janitor,684,6292.8
232726,Rome Court House S&W Labs Rate,82.5,842.33
232729,OC   Court House Rome - Activities,4,36.84
232729,Rome Court House - Activities,65.5,628.29
232871,Walsh Janitor F/T,3527,32448.4
232872,Walsh Janitor P/T,1897,"17,452.40"
232876,Walsh S&W Labs Rate,325.5,3323.36
232879,Walsh - Activities,708.75,7834.45
232932,Wilson Janitor P/T,962,8850.4
232936,Wilson S&W Labs Rate,173,1766.33
232939,Wilson - Activities,101.75,937.15
233130,CENTRO 200 CORTLAND AVE,37,340.4
233130,CNY Centro - Syracuse - Janitor,4419.25,40657.1
233139,CNY Centro - Syracuse - Activities,317.2166667,4032.03
233140,NYS Fair,8171.766667,75169.82
233144,NYS Fair - Supervisor,175.4333333,2456.12
233149,NYS Fair - Activities,572.95,"5,343.22"
233160,Hillbrook Detention Center,1491.75,12755.37
233169,Hillbrook Detention Center - Activities,50,520
233170,SUNY Oswego,3713.75,"33,052.41"
233179,SUNY Oswego - Activities,90,1005.36
233180,William T. Walsh Regional Transportation Ctr.,2537,22579.31
233189,William T. Walsh Regional Trans. Ctr. Activities,157,1617.11
233190,Onondaga County Justice Center,656,"5,838.40"
233199,Onondaga County Justice Center - Activities,53,487.7
234100,Armory Grounds,391,"4,774.61"
234109,Armory Grounds Activities,3.75,45.79
234110,CNY DDSO,1250,15263.62
234110,CNY DSO,140.25,1724.66
234120,DRV Grounds,5.75,46
234130,Train Grounds,112.25,"1,370.86"
234160,Oneida County Grounds 3 Sites,302.5,4150.3
235100,Armory Snow Removal,156.75,1804.44
235109,Armory Snow Removal Activities,2,25.42
331040,FasterForm,16.5,119.68
331050,Fiserv,966.5,7048.02
331059,Fiserv - Activities,77,558.43
331060,Gilroy Kernan Gilroy,1144.5,"9,692.35"
331069,Gilroy - Activities,95,721.44
331070,HCCC,4517.25,"35,400.88"
331079,HCCC - Activities,99,769.9
331080,Hummels,257.5,"1,941.92"
331089,Hummels - Activities,18.75,141.23
331090,Matt Brewing Co,387.25,"2,811.39"
331099,Matt Brewing - Activities,22.5,163.2
331110,Natl Center Missing Children,110.75,803.09
331119,Natl Center MC - Activities,5,36.25
331150,OTB Bleecker,272.5,"2,509.76"
331159,OTB Bleecker - Activities,42,386.82
331160,OTB Cleats,319,2938
331169,OTB Cleats - Activities,46,423.66
331170,OTB Jerzees,320.25,2949.54
331179,OTB Jerzees - Activities,46,423.66
331180,M & T Bank,8215,63649.55
331189,M&T Bank - Activities,634.8,4948.18
331190,Rescue Mission,972.75,7651.19
331199,Rescue Mission - Activities,73,573.82
331200,Slocum Dickson-Utica,12316.5,96957.54
331209,Slocum Dickson-Utica  Activities,1048.116667,8255.51
331230,UCP Hatfield,1274.5,"10,623.75"
331239,UCP Hatfield - Activities,98.56666667,796.04
331270,Fused Corporation,104.5,940.5
331279,Fused Corporation - Activities,9.25,83.25
331280,TECT Power,739,"6,651.00"
331289,TECT Power - Activities,69,621
331290,Mt. Markham Central School,72,801.32
331300,Cornel Associates LLC @ 258 Genesee St.,885.5,8247.5
331309,Cornel Associates LLC @ 258 Genesee St. Activities,110.5,1014
331310,Slocum Dickson-Ilion,633.75,5293.8
331319,Slocum Dickson-Ilion Activities,47.5,401.36
331320,Army Reserve  Center (Elihu Root USARC),255.5,3515.68
331329,Army Reserve Center (Elihu Root USARC) Activities,13.75,189.2
331330,HCCC Farm House,21.75,217.5
331340,Ommegang Janitor,65,975
331350,Our Savior Lutheran Church,449,3989.83
331359,Our Savior Lutheran - Activities,10.88333333,97.95
331380,Mele & Co.,204,1836
331389,Mele & Co. - Activities,17,153
331419,Faxton-St. Luke's Healthcare Boonville Activities,5,45
331459,Faxton-St. Luke's Healthcare Waterville Activities,2.5,22.5
331500,HTC,2049,14983.68
331509,HTC - Activities,379.5,"2,982.08"
331510,MHC Utica,735.5,5618.39
331519,MHCU - Activities,59.5,441.55
332040,Griffiss Utility Services Corp,8,58.08
332080,Oneida Herk Solid Waste,196,"1,421.00"
332089,Oneida Herk Solid Waste - Activities,14,101.5
332090,OTB Legends,193.5,"1,782.69"
332099,OTB Legends - Activities,18,165.84
332130,Rome Justice Building,659,"6,764.06"
332139,Rome Justice Building - Activities,55.25,568.62
332520,MHC Rome,198.5,"1,439.13"
332529,MHCR - Activities,16,116
334100,Commercial Grounds Maintenance,2070.5,16549.79
334109,Commercial Grounds - Activities,377.4,3019.21
334120,DRV Grounds FG,643.5,5148
335100,Maintenance Plus Commercial,831.5,6028.84
335109,Maintenance Plus - Activities,69.25,502.08
335200,Maintenance Plus - HTC,452,"3,277.28"
335209,Maintenance Plus -HTC Activities,200.25,1451.84
335400,State Site Construction Cleanup  - R. Alexander,538,11250
335400,State Site Construction Site Cleanup,66.5,1396.5
335410,R. Alexander Co. Rome School For The Deaf (art 8) ,50,1050
336100,Food Services,33.75,244.7
393501,Distribution Center (New),34.25,248.35
